single_frac,task_alpha,single_mass,multi_mass,total_mass,multicellular_pct
0.5417,0.7272,11,4,19,0.5690805571240354
0.5417,0.8379,11,4,19,0.5016318015493018
0.5417,0.9655,11,4,19,0.5606935041682984
0.5417,1.1125,11,4,19,0.5214555388067269
0.5417,1.2819,11,4,19,0.5820539416131773
0.5417,1.477,11,4,19,0.5811554260107622
0.5417,1.7019,11,4,19,0.5714809901991373
0.5417,1.961,11,4,19,0.5011806458741944
0.5417,2.2596,11,4,19,0.553297361179796
0.5417,2.6036,11,4,19,0.5163262664275575
0.5417,3.0,11,4,19,0.5682616366836434
0.5833,0.1,12,4,20,0.7863938348511851
0.5833,0.1152,12,4,20,0.6885468311618433
0.5833,0.1328,12,4,20,0.7508303447329783
0.5833,0.153,12,4,20,0.6977424180606554
0.5833,0.1763,12,4,20,0.7001491975836199
0.5833,0.2031,12,4,20,0.630190327497119
0.5833,0.234,12,4,20,0.6490151021442082
0.5833,0.2697,12,4,20,0.6162276475525211
0.5833,0.3107,12,4,20,0.5746036849322547
0.5833,0.358,12,4,20,0.595285527273192
0.5833,0.4125,12,4,20,0.5968047530110293
0.5833,0.4754,12,4,20,0.5450227109192302
0.5833,0.5477,12,4,20,0.5372147980843632
0.5833,0.6311,12,4,20,0.5781156612029096
0.5833,0.7272,12,4,20,0.5190180644554346
0.5833,0.8379,12,4,20,0.5408510967909089
0.5833,0.9655,12,4,20,0.5533981769974979
0.5833,1.1125,12,4,20,0.519515593615531
0.5833,1.2819,12,4,20,0.6037561968067607
0.5833,1.477,12,4,20,0.5545150501672241
0.5833,1.7019,12,4,20,0.5862344628247105
0.5833,1.961,12,4,20,0.5062000447916878
0.5833,2.2596,12,4,20,0.5512914499167966
0.5833,2.6036,12,4,20,0.4863717644700485
0.5833,3.0,12,4,20,0.5805995758048702
0.625,0.1,12,4,20,0.7965414430530711
0.625,0.1152,12,4,20,0.7120785362577026
0.625,0.1328,12,4,20,0.7289804710731228
0.625,0.153,12,4,20,0.6967695376056264
