cell_id,genome,op,is_cooperator,is_defector,has_adhesion,cluster_id,type,fitness,age,x,y,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
7615,10100000,XOR,0,1,1,2292,defector,28.875,165,13.119,93.537,2,500,250,100,0.3,,,,
7616,10100001,XOR,0,1,1,2292,defector,28.875,165,0.191,103.547,2,500,250,100,0.3,,,,
7618,10101010,XOR,0,1,1,2294,defector,27.65,158,249.579,112.65,2,500,250,100,0.3,,,,
7619,00100000,AND,0,1,1,2293,defector,27.65,158,69.607,136.955,2,500,250,100,0.3,,,,
7620,11001001,NAND,0,0,0,2293,defector,31.6,158,82.434,151.015,2,500,250,100,0.3,,,,
7621,10001110,XOR,0,0,0,2293,defector,31.6,158,58.488,145.362,2,500,250,100,0.3,,,,
7622,00100110,AND,0,1,1,2293,defector,27.65,158,59.506,126.212,2,500,250,100,0.3,,,,
7623,01101001,OR,0,1,1,2295,defector,27.475,157,186.487,71.333,2,500,250,100,0.3,,,,
7624,10101110,XOR,0,1,1,2295,defector,27.475,157,173.35,71.976,2,500,250,100,0.3,,,,
7625,00101001,AND,0,1,1,2295,defector,27.475,157,155.924,47.247,2,500,250,100,0.3,,,,
7626,00101000,AND,0,1,1,2296,defector,26.95,154,214.448,178.435,2,500,250,100,0.3,,,,
7627,11100001,NAND,0,1,1,2296,defector,26.95,154,210.891,194.026,2,500,250,100,0.3,,,,
7628,01100110,OR,0,1,1,2296,defector,26.95,154,185.931,182.733,2,500,250,100,0.3,,,,
7629,10101011,XOR,0,1,1,2296,defector,26.95,154,211.072,162.724,2,500,250,100,0.3,,,,
7630,10101011,XOR,0,1,1,2267,defector,26.6,152,231.974,220.602,2,500,250,100,0.3,,,,
7631,00100000,AND,0,1,1,2297,defector,26.6,152,234.151,81.925,2,500,250,100,0.3,,,,
7632,00011101,AND,1,0,1,2300,cooperator,14.225,151,0.536,205.541,2,500,250,100,0.3,,,,
7633,11110101,NAND,1,0,1,2298,cooperator,26.25,150,143.953,188.204,2,500,250,100,0.3,,,,
7634,10111011,XOR,1,0,1,2298,cooperator,26.25,150,148.737,201.759,2,500,250,100,0.3,,,,
7635,10101000,XOR,0,1,1,2298,defector,26.25,150,122.589,207.221,2,500,250,100,0.3,,,,
7636,01100001,OR,0,1,1,2298,defector,26.25,150,133.563,195.414,2,500,250,100,0.3,,,,
7637,10100101,XOR,0,1,1,2299,defector,25.9,148,3.11,195.065,2,500,250,100,0.3,,,,
7638,10101000,XOR,0,1,1,2301,defector,25.025,143,91.914,195.829,2,500,250,100,0.3,,,,
7639,01100001,OR,0,1,1,2301,defector,25.025,143,83.572,207.549,2,500,250,100,0.3,,,,
7640,01011000,OR,1,0,1,2301,cooperator,25.025,143,91.817,181.338,2,500,250,100,0.3,,,,
7641,01001000,OR,0,0,0,2302,defector,28.2,141,209.65,247.187,2,500,250,100,0.3,,,,
7642,11000011,NAND,0,0,0,2302,defector,28.2,141,160.799,249.119,2,500,250,100,0.3,,,,
7643,11001001,NAND,0,0,0,2302,defector,28.2,141,195.449,237.274,2,500,250,100,0.3,,,,
7644,00000100,AND,0,0,0,2303,defector,24.2,121,33.594,105.325,2,500,250,100,0.3,,,,
7645,10010000,XOR,1,0,1,2303,cooperator,21.175,121,44.013,125.213,2,500,250,100,0.3,,,,
7646,00100101,AND,0,1,1,2303,defector,21.175,121,45.357,142.953,2,500,250,100,0.3,,,,
7647,11101001,NAND,0,1,1,2303,defector,21.175,121,22.386,128.355,2,500,250,100,0.3,,,,
7648,10100000,XOR,0,1,1,2303,defector,21.175,121,31.541,118.19,2,500,250,100,0.3,,,,
7649,10010000,XOR,1,0,1,2303,cooperator,21.175,121,19.875,108.336,2,500,250,100,0.3,,,,
7650,01000111,OR,0,0,0,2303,defector,24.2,121,38.989,107.96,2,500,250,100,0.3,,,,
7651,10101111,XOR,0,1,1,-1,lone,20.65,118,104.919,0.902,2,500,250,100,0.3,,,,
7652,01101100,OR,0,1,1,2304,defector,19.775,113,128.315,67.086,2,500,250,100,0.3,,,,
7653,11000000,NAND,0,0,0,2304,defector,22.6,113,105.051,63.536,2,500,250,100,0.3,,,,
7654,01100110,OR,0,1,1,2304,defector,19.775,113,101.294,53.543,2,500,250,100,0.3,,,,
7655,00000011,AND,0,0,0,2304,defector,22.6,113,111.362,28.424,2,500,250,100,0.3,,,,
7656,01111000,OR,1,0,1,2305,cooperator,18.725,107,73.148,166.369,2,500,250,100,0.3,,,,
7657,01000001,OR,0,0,0,2305,defector,21.4,107,66.87,182.913,2,500,250,100,0.3,,,,
7658,11101010,NAND,0,1,1,2305,defector,18.725,107,55.82,159.103,2,500,250,100,0.3,,,,
7659,00110001,AND,1,0,1,2305,cooperator,18.725,107,66.209,154.715,2,500,250,100,0.3,,,,
7660,11001010,NAND,0,0,0,-1,lone,20.8,104,63.245,1.947,2,500,250,100,0.3,,,,
7661,00101010,AND,0,1,1,2266,defector,18.2,104,154.61,132.754,2,500,250,100,0.3,,,,
7662,01001111,OR,0,0,0,2306,defector,20.8,104,11.117,70.437,2,500,250,100,0.3,,,,
7663,11100011,NAND,0,1,1,2306,defector,18.2,104,3.395,89.047,2,500,250,100,0.3,,,,
7664,11101011,NAND,0,1,1,2307,defector,17.15,98,199.361,168.362,2,500,250,100,0.3,,,,
7665,01110001,OR,1,0,1,2307,cooperator,17.15,98,196.33,183.272,2,500,250,100,0.3,,,,
7666,10000000,XOR,0,0,0,2307,defector,19.6,98,174.36,166.471,2,500,250,100,0.3,,,,
7667,00110100,AND,1,0,1,2307,cooperator,17.15,98,198.307,147.387,2,500,250,100,0.3,,,,
7668,01101000,OR,0,1,1,2308,defector,15.225,87,83.165,190.642,2,500,250,100,0.3,,,,
7669,11111001,NAND,1,0,1,2308,cooperator,15.225,87,59.311,197.127,2,500,250,100,0.3,,,,
7670,00000000,AND,0,0,0,2308,defector,17.4,87,74.309,181.547,2,500,250,100,0.3,,,,
7671,00001101,AND,0,0,0,-1,lone,15.8,79,14.486,246.185,2,500,250,100,0.3,,,,
7672,10000001,XOR,0,0,0,-1,lone,15.8,79,206.707,2.45,2,500,250,100,0.3,,,,
7673,01010001,OR,1,0,1,-1,lone,13.475,77,232.136,97.648,2,500,250,100,0.3,,,,
7674,01101110,OR,0,1,1,2311,defector,12.95,74,18.986,37.838,2,500,250,100,0.3,,,,
7675,11101001,NAND,0,1,1,-1,lone,12.95,74,46.889,1.45,2,500,250,100,0.3,,,,
7676,00100100,AND,0,1,1,2309,defector,12.6,72,203.201,246.867,2,500,250,100,0.3,,,,
7677,11101100,NAND,0,1,1,2309,defector,12.6,72,165.9,248.158,2,500,250,100,0.3,,,,
7678,01101100,OR,0,1,1,2309,defector,12.6,72,172.751,231.873,2,500,250,100,0.3,,,,
7679,11111010,NAND,1,0,1,2311,cooperator,12.25,70,1.057,44.247,2,500,250,100,0.3,,,,
7680,01110000,OR,1,0,1,2310,cooperator,4.6667,70,196.862,59.792,2,500,250,100,0.3,,,,
7681,11111100,NAND,1,0,1,2310,cooperator,4.6667,70,164.438,64.462,2,500,250,100,0.3,,,,
7682,00001011,AND,0,0,0,2310,defector,18.6667,70,176.466,40.493,2,500,250,100,0.3,,,,
7683,10000010,XOR,0,0,0,-1,lone,12.8,64,249.367,44.522,2,500,250,100,0.3,,,,
7684,00001001,AND,0,0,0,-1,lone,12.4,62,118.375,111.96,2,500,250,100,0.3,,,,
7685,10011101,XOR,1,0,1,2312,cooperator,9.45,58,14.1,203.07,2,500,250,100,0.3,,,,
7686,10001010,XOR,0,0,0,-1,lone,10.4,52,219.026,14.871,2,500,250,100,0.3,,,,
7687,10101101,XOR,0,1,1,2313,defector,8.4,48,63.284,167.222,2,500,250,100,0.3,,,,
