mutation_rate,task_flip_period,multicellular_pct
0.0007071067811865475,10,0.04979708251160947
0.0007071067811865475,13,0.05184578986525778
0.0007071067811865475,15,0.05988813587737368
0.0007071067811865475,19,0.08179916688965261
0.0007071067811865475,23,0.07779929538622911
0.0007071067811865475,28,0.07875134257787107
0.0007071067811865475,34,0.10852482688007514
0.0007071067811865475,41,0.12354009845262298
0.0007071067811865475,49,0.1892254224749622
0.0007071067811865475,60,0.12946400710342684
0.0007071067811865475,73,0.09333855913302223
0.0007071067811865475,88,0.11871742092168318
0.0007071067811865475,107,0.09784206589821232
0.0007071067811865475,130,0.09677497839395832
0.0007071067811865475,158,0.08151886206328106
0.0007071067811865475,191,0.12873585319035966
0.0007071067811865475,232,0.07811314446064073
0.0007071067811865475,281,0.12626233420040855
0.0007071067811865475,340,0.06142661724106574
0.0007071067811865475,412,0.05267597316041966
0.0007071067811865475,499,0.04931720650767089
0.0012216367408112978,5,0.0332281824623581
0.0012216367408112978,6,0.031827763373424446
0.0012216367408112978,7,0.03976750614801082
0.0012216367408112978,8,0.03921631728003272
0.0012216367408112978,10,0.04520451647817502
0.0012216367408112978,13,0.0485384018047292
0.0012216367408112978,15,0.04683041038946917
0.0012216367408112978,19,0.07667329185629339
0.0012216367408112978,23,0.09021603832149154
0.0012216367408112978,28,0.09059298094331887
0.0012216367408112978,34,0.13825105739794447
0.0012216367408112978,41,0.09330566447406818
0.0012216367408112978,49,0.1725932732159102
0.0012216367408112978,60,0.1322707935872103
0.0012216367408112978,73,0.08872968758984827
0.0012216367408112978,88,0.1360739236022328
0.0012216367408112978,107,0.1219397995950317
0.0012216367408112978,130,0.08625108460053306
0.0012216367408112978,158,0.055404584937208734
0.0012216367408112978,191,0.06388352893198172
0.0012216367408112978,232,0.10782678909408709
0.0012216367408112978,281,0.07817749876416212
0.0012216367408112978,340,0.06338919122499179
0.0012216367408112978,412,0.06441142419293891
0.0012216367408112978,499,0.05049763274336366
0.002110567125372157,5,0.035637476852445775
0.002110567125372157,6,0.03441346565817725
0.002110567125372157,7,0.03917785515785934
0.002110567125372157,8,0.03746766185602609
0.002110567125372157,10,0.04890847284680896
0.002110567125372157,13,0.054569341325618526
0.002110567125372157,15,0.059464123571085596
0.002110567125372157,19,0.07448367977263361
