tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale
350,197,44,153,71,2.1549295774647885,136,17,69.03553299492386,8.629441624365482,82.23350253807106,31.05672588832482,-0.05315011818767809,-0.01741752463808849,0.12507032520270242,0.1424878498407909,0.1749999999999989,0.18760288065843733,0.1270056057180456,0.18015572390572368,1,700,250,100,0.005,,0.05
400,238,43,195,90,2.1666666666666665,178,17,74.78991596638656,7.142857142857143,85.29411764705883,32.39915966386547,-0.05108333636301521,-0.028116600095407923,0.12746187258698308,0.155578472682391,0.17499999999999868,0.18932473268247454,0.12991306336453148,0.1809963997275467,1,700,250,100,0.005,,0.05
450,283,41,242,113,2.1415929203539825,225,17,79.50530035335689,6.007067137809187,87.63250883392226,34.05759717314478,-0.04734510642805273,-0.025560743480771864,0.13264257700390583,0.1582033204846777,0.17499999999999852,0.19045078815840202,0.1344381664219766,0.18178327285002932,1,700,250,100,0.005,,0.05
500,361,40,321,145,2.213793103448276,299,22,82.82548476454294,6.094182825484765,88.6426592797784,32.783587257617626,-0.04096510088457367,-0.027335090584956923,0.12870155666644018,0.1560366472513971,0.1749999999999984,0.16771598010654057,0.13057498966603226,0.17154009055060593,1,700,250,100,0.005,,0.05
550,358,2,356,166,2.144578313253012,339,17,94.6927374301676,4.748603351955308,94.6927374301676,19.567527932960864,-0.046777467184525745,-0.035702521817902844,0.12651763711068675,0.1622201589285896,0.0,0.175,0.12822253281547424,0.175,1,700,250,100,0.005,,0.05
600,465,2,463,211,2.1943127962085307,446,17,95.91397849462365,3.6559139784946235,95.91397849462365,20.30521505376341,-0.05033000679690387,-0.0405007545268148,0.12318292446237107,0.16368367898918587,0.0,0.17500000000000032,0.12466999320309645,0.17500000000000032,1,700,250,100,0.005,,0.05
650,586,2,584,261,2.2375478927203063,565,19,96.41638225255973,3.242320819112628,96.41638225255973,20.528455631399286,-0.05462951794825044,-0.04707633668814033,0.1188388889060742,0.16591522559421454,0.0,0.17500000000000046,0.12037048205175002,0.17500000000000046,1,700,250,100,0.005,,0.05
0,100,55,45,15,3.0,44,1,44.0,1.0,73.0,0.14350000000000004,-0.08414141414141417,-0.07954545454545457,0.09545454545454544,0.17500000000000002,0.175,0.18846153846153849,0.0972222222222222,0.18136363636363637,2,700,250,100,0.005,,0.05
50,100,47,53,17,3.1176470588235294,49,4,49.0,4.0,73.0,7.232749999999997,-0.07665694539558095,-0.07485994397759103,0.10014005602240895,0.175,0.17499999999999996,0.1902173913043477,0.10578986311505732,0.18244680851063827,2,700,250,100,0.005,,0.05
100,104,47,57,18,3.1666666666666665,53,4,50.96153846153846,3.8461538461538463,74.03846153846153,13.587740384615403,-0.08742335879724585,-0.08601251634597437,0.08898748365402595,0.17500000000000032,0.17500000000000035,0.19021739130434775,0.09502344971339256,0.1824468085106384,2,700,250,100,0.005,,0.05
150,99,47,52,20,2.6,48,4,48.484848484848484,4.040404040404041,72.72727272727273,21.921717171717205,-0.061327985280887815,-0.05837127483443731,0.11662872516556315,0.17500000000000046,0.17500000000000046,0.1902173913043477,0.12111882322975065,0.18244680851063846,2,700,250,100,0.005,,0.05
200,109,52,57,25,2.28,52,5,47.706422018348626,4.587155963302752,69.72477064220183,25.161009174311957,-0.03722996857816188,-0.050523823191733666,0.12447617680826649,0.17500000000000016,0.17500000000000018,0.1585421108742006,0.12890809112333085,0.16613805970149273,2,700,250,100,0.005,,0.05
250,111,52,59,26,2.269230769230769,54,5,48.648648648648646,4.504504504504505,70.27027027027027,32.623873873873855,-0.04178882726767483,-0.05184229412317047,0.12315770587682927,0.17499999999999974,0.1749999999999996,0.16448847467273806,0.12755112063303015,0.16933994790070497,2,700,250,100,0.005,,0.05
