tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period
450,154,12,142,72,1.9722222222222223,137,5,88.96103896103897,3.2467532467532467,92.85714285714286,77.53636363636375,0.38739474550138386,0.43370254732224645,0.5737025473222459,0.13999999999999946,0.17499999999999852,0.16707317073170813,0.5584313308672372,0.17103658536585334,4,500,250,20,0.005,
0,50,30,20,7,2.857142857142857,20,0,40.0,0.0,76.0,0.19700000000000004,0.04458333333333331,0.22374999999999998,0.22374999999999998,0.0,0.175,0.1854166666666667,0.22374999999999998,0.17916666666666667,0,500,250,50,0.005,
50,54,30,24,8,3.0,24,0,44.44444444444444,0.0,77.77777777777777,9.742129629629629,0.0681372549019609,0.24730392156862754,0.24730392156862754,0.0,0.17499999999999996,0.1854166666666666,0.24730392156862754,0.17916666666666664,0,500,250,50,0.005,
100,66,30,36,11,3.272727272727273,36,0,54.54545454545455,0.0,81.81818181818181,17.695833333333354,0.10639438943894394,0.28556105610561083,0.28556105610561083,0.0,0.17500000000000032,0.18541666666666667,0.28556105610561083,0.1791666666666669,0,500,250,50,0.005,
150,82,30,52,16,3.25,52,0,63.41463414634146,0.0,85.36585365853658,25.328658536585376,0.13736733740872797,0.31653400407539495,0.31653400407539495,0.0,0.17500000000000043,0.1854166666666667,0.31653400407539495,0.17916666666666697,0,500,250,50,0.005,
200,112,30,82,25,3.28,76,6,67.85714285714286,5.357142857142857,83.92857142857143,28.519642857142852,0.1320410144399949,0.20708136946844702,0.3124296281749148,0.10534825870646781,0.1750000000000002,0.15059079601990058,0.29727733284795527,0.16523631840796035,0,500,250,50,0.005,
250,156,30,126,36,3.5,120,6,76.92307692307692,3.8461538461538463,88.46153846153847,32.233333333333285,0.15286947448302,0.21174053784860497,0.3309636454183264,0.11922310756972145,0.17499999999999963,0.1575282204515277,0.32088076266363086,0.16801128818061087,0,500,250,50,0.005,
300,215,30,185,51,3.627450980392157,177,8,82.32558139534883,3.7209302325581395,90.69767441860465,36.21255813953481,0.1497119723239972,0.18634638123055147,0.3276345353003192,0.14128815406976775,0.1749999999999992,0.162160852713179,0.31957631340926834,0.16986434108527115,0,500,250,50,0.005,
350,338,25,313,86,3.63953488372093,295,18,87.27810650887574,5.325443786982248,92.3076923076923,35.22744082840228,0.15164725951242258,0.19539257556858458,0.33692644644268,0.1415338708740954,0.1749999999999989,0.17200797872340512,0.3256898127039115,0.17404255319148892,0,500,250,50,0.005,
400,520,20,500,131,3.816793893129771,476,23,91.53846153846153,4.423076923076923,94.42307692307692,35.35027884615377,0.14561344891803377,0.18840781138143953,0.3355475764967367,0.1471397651152972,0.17499999999999863,0.20000000000000145,0.32686344891803315,0.18124999999999938,0,500,250,50,0.005,
450,821,7,814,209,3.8947368421052633,781,31,95.1278928136419,3.7758830694275276,95.3714981729598,34.930231425091286,0.1240793275886691,0.16783590133181733,0.3233439986986284,0.15550809736681107,0.17499999999999852,0.20000000000000165,0.31693647044581275,0.19285714285714364,0,500,250,50,0.005,
0,50,28,22,8,2.75,21,1,42.0,2.0,70.0,0.183,0.00397727272727269,0.010714285714285704,0.18571428571428572,0.17500000000000002,0.175,0.18750000000000003,0.18522727272727274,0.18125000000000005,1,500,250,50,0.005,
50,54,28,26,9,2.888888888888889,25,1,46.2962962962963,1.8518518518518519,72.22222222222223,9.044444444444444,0.031250000000000056,0.039000000000000035,0.21400000000000002,0.175,0.175,0.18749999999999992,0.21250000000000002,0.18124999999999997,1,500,250,50,0.005,
100,61,28,33,11,3.0,32,1,52.459016393442624,1.639344262295082,75.40983606557377,17.555737704918045,0.07498312331233126,0.08377165841584139,0.2587716584158417,0.17500000000000032,0.1750000000000003,0.18749999999999997,0.2562331233123314,0.18125000000000013,1,500,250,50,0.005,
150,66,28,38,12,3.1666666666666665,37,1,56.06060606060606,1.5151515151515151,77.27272727272727,26.823106060606072,0.11525575113279882,0.12478969035260393,0.2997896903526044,0.17500000000000046,0.17500000000000043,0.18749999999999997,0.29650575113279903,0.18125000000000022,1,500,250,50,0.005,
200,84,24,60,20,3.0,52,8,61.904761904761905,9.523809523809524,78.57142857142857,30.041964285714283,0.1106498756218903,0.19636194029850723,0.3191231343283581,0.12276119402985086,0.17500000000000024,0.19250000000000006,0.2929415422885571,0.18229166666666682,1,500,250,50,0.005,
250,106,24,82,26,3.1538461538461537,73,9,68.86792452830188,8.49056603773585,82.0754716981132,36.05188679245278,0.1056683274390667,0.16865556579258492,0.3064709708390658,0.1378154050464809,0.17499999999999963,0.19250000000000056,0.28795999410573336,0.18229166666666666,1,500,250,50,0.005,
300,144,24,120,36,3.3333333333333335,110,10,76.38888888888889,6.944444444444445,86.11111111111111,39.482812499999916,0.1372527425084699,0.178583330093806,0.3344263533496202,0.15584302325581417,0.1749999999999992,0.19250000000000086,0.31954440917513643,0.18229166666666655,1,500,250,50,0.005,
350,217,24,193,55,3.5090909090909093,181,12,83.41013824884793,5.529953917050691,89.86175115207374,38.14873271889392,0.14561796899502724,0.19653050201681235,0.34012914874045924,0.1435986467236469,0.1749999999999989,0.19250000000000095,0.3279096356616937,0.18229166666666644,1,500,250,50,0.005,
400,341,22,319,88,3.625,306,13,89.73607038123167,3.812316715542522,92.96187683284458,36.366568914955934,0.1524109748974558,0.18243465900823835,0.33747494291385877,0.1550402839056204,0.17499999999999868,0.18025865348041178,0.330040301637661,0.1776293267402052,1,500,250,50,0.005,
450,542,17,525,140,3.75,506,19,93.35793357933579,3.5055350553505535,94.64944649446494,34.93694649446488,0.1449611919059247,0.18365521913013622,0.331202713908829,0.14754749477869278,0.17499999999999852,0.1828114186851223,0.32455614407364314,0.17959495216771842,1,500,250,50,0.005,
0,50,31,19,6,3.1666666666666665,19,0,38.0,0.0,72.0,0.20900000000000005,0.0724957555178268,0.25394736842105264,0.25394736842105264,0.0,0.17500000000000002,0.18928571428571428,0.25394736842105264,0.18145161290322584,2,500,250,50,0.005,
50,58,31,27,8,3.375,27,0,46.55172413793103,0.0,75.86206896551724,10.113793103448277,0.10465949820788542,0.2861111111111112,0.2861111111111112,0.0,0.175,0.1892857142857142,0.2861111111111112,0.18145161290322578,2,500,250,50,0.005,
100,66,31,35,10,3.5,34,1,51.515151515151516,1.5151515151515151,77.27272727272727,19.315909090909113,0.10069124423963152,0.11029411764705913,0.28529411764705914,0.17500000000000002,0.17500000000000032,0.1892857142857142,0.2821428571428575,0.18145161290322595,2,500,250,50,0.005,
150,74,31,43,12,3.5833333333333335,42,1,56.75675675675676,1.3513513513513513,79.72972972972973,28.719594594594607,0.11564141035258796,0.12499999999999994,0.30000000000000004,0.1750000000000001,0.17500000000000046,0.1892857142857142,0.297093023255814,0.18145161290322603,2,500,250,50,0.005,
200,98,35,63,17,3.7058823529411766,61,2,62.244897959183675,2.0408163265306123,79.59183673469387,31.589030612244883,0.14115849324804516,0.135245901639344,0.3102459016393441,0.17500000000000013,0.1750000000000002,0.15515478164731905,0.3059523809523808,0.16479388770433565,2,500,250,50,0.005,
250,130,35,95,25,3.8,92,3,70.76923076923077,2.3076923076923075,83.84615384615384,34.929038461538404,0.13387682353293562,0.13097826086956474,0.3059782608695649,0.17500000000000018,0.1749999999999996,0.16132138114209876,0.30184210526315763,0.16796528173022202,2,500,250,50,0.005,
300,170,35,135,35,3.857142857142857,131,4,77.05882352941177,2.3529411764705883,87.05882352941177,38.83779411764698,0.14417620278085358,0.1435114503816788,0.318511450381679,0.17500000000000018,0.17499999999999918,0.1654392764857888,0.3142592592592589,0.17008305647840533,2,500,250,50,0.005,
350,241,32,209,56,3.732142857142857,197,11,81.74273858921161,4.564315352697095,88.79668049792531,39.46701244813268,0.1414423764129758,0.18058173740752803,0.3275380710659894,0.1469563336584614,0.1749999999999989,0.17829749103942721,0.3179880753377068,0.176545698924731,2,500,250,50,0.005,
400,362,28,334,88,3.7954545454545454,319,14,88.12154696132596,3.867403314917127,91.98895027624309,39.542886740331404,0.1470119396850447,0.1846423654595006,0.3326802507836988,0.14803788532419818,0.17499999999999866,0.18081113801452878,0.3249175086923084,0.1779055690072637,2,500,250,50,0.005,
