mutation_rate,task_flip_period,multicellular_pct
5.623413251903491e-05,177,0.5557098931923616
5.623413251903491e-05,229,0.5586233291745865
5.623413251903491e-05,297,0.5849118596768066
5.623413251903491e-05,385,0.5765973298048912
5.623413251903491e-05,499,0.584677505724465
0.0001,1,0.42810923262079914
0.0001,2,0.4303366859651267
0.0001,3,0.4352011478050853
0.0001,4,0.42562583683569494
0.0001,6,0.4290508905557235
0.0001,7,0.41432925528433423
0.0001,10,0.4342425980053857
0.0001,13,0.4678293567100864
0.0001,17,0.4999997004043249
0.0001,22,0.5081464324776427
0.0001,28,0.5561358490944376
0.0001,37,0.5508837775884704
0.0001,48,0.5877246268954286
0.0001,62,0.5365046609129239
0.0001,81,0.5776401922843236
0.0001,105,0.5250894269870114
0.0001,136,0.5734979989293426
0.0001,177,0.5724040822839099
0.0001,229,0.5682575774073072
0.0001,297,0.5924519554238975
0.0001,385,0.5638431779054803
0.0001,499,0.5673793570729504
0.00017782794100389227,1,0.4322395476640595
0.00017782794100389227,2,0.4270650544373172
0.00017782794100389227,3,0.4322235757319131
0.00017782794100389227,4,0.42011680048032957
0.00017782794100389227,6,0.43047001850275707
0.00017782794100389227,7,0.4303937913736397
0.00017782794100389227,10,0.4348606456123305
0.00017782794100389227,13,0.46786054021574214
0.00017782794100389227,17,0.49520208102314434
0.00017782794100389227,22,0.5042280205496955
0.00017782794100389227,28,0.5279892265938257
0.00017782794100389227,37,0.5642798188981643
0.00017782794100389227,48,0.5917250343119704
0.00017782794100389227,62,0.5847244459230612
0.00017782794100389227,81,0.5759816325639858
0.00017782794100389227,105,0.5330900166421809
0.00017782794100389227,136,0.5805646121932567
0.00017782794100389227,177,0.5474943222204885
0.00017782794100389227,229,0.560449519687395
0.00017782794100389227,297,0.595012552360895
0.00017782794100389227,385,0.5875063435862463
0.00017782794100389227,499,0.5786592969745635
0.00031622776601683794,1,0.4275560576121837
0.00031622776601683794,2,0.42766549469040505
0.00031622776601683794,3,0.4323052311059818
0.00031622776601683794,4,0.4177513700074056
0.00031622776601683794,6,0.43126938332614184
