tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
300,269,58,211,58,3.6379310344827585,155,56,57.62081784386617,20.817843866171003,60.22304832713755,491.4341002832353,1.3764372211213223,3.99970228533885,4.220636028996777,0.22093374365792748,0.8374685152426035,1.9123994973502376,3.1591036689068455,1.7826664477855232,1,500,250,100,0.005,,,,0.1
350,397,85,312,91,3.4285714285714284,253,59,63.727959697733,14.861460957178842,66.75062972292191,484.8255490584136,1.7980919250776308,4.323881599876043,4.6193913193828795,0.2955097195068366,0.8295409675371338,2.1966452551430375,3.801734221970423,2.0036422968927923,1,500,250,100,0.005,,,,0.1
400,425,97,328,94,3.4893617021276597,260,68,61.1764705882353,16.0,64.47058823529412,606.5884932773099,1.6862653411395407,4.199964518441354,4.491323230673578,0.291358712232224,1.0348924354135103,2.086046495237912,3.6205988792893944,1.9343335381498536,1,500,250,100,0.005,,,,0.1
450,672,132,540,167,3.2335329341317367,457,83,68.00595238095238,12.351190476190476,70.53571428571429,525.3967901431397,1.8465288056077012,4.154344103933576,4.4753033789062115,0.3209592749726362,1.3911044411507167,2.0788038456080185,3.836765303671976,1.990236498064275,1,500,250,100,0.005,,,,0.1
0,100,52,48,16,3.0,42,6,42.0,6.0,63.0,3.124000000000001,2.5628205128205135,3.4857142857142858,4.892380952380953,1.406666666666667,1.609047619047619,2.0867741935483877,4.456666666666667,1.8938461538461537,2,500,250,100,0.005,,,,0.1
50,77,30,47,13,3.6153846153846154,41,6,53.246753246753244,7.792207792207792,63.63636363636363,181.3977922077923,2.208107356417746,3.4102941176470614,4.88901960784314,1.4787254901960785,2.516960784313726,2.14686274509804,4.453662911973302,2.2455555555555557,2,500,250,100,0.005,,,,0.1
100,116,45,71,18,3.9444444444444446,59,12,50.86206896551724,10.344827586206897,62.06896551724138,232.76784482758615,2.5611130803457884,4.0366223578988,4.917642941049552,0.8810205831507519,1.9991469916222409,1.542308168316833,4.235396908728628,1.6742838283828398,2,500,250,100,0.005,,,,0.1
150,144,49,95,24,3.9583333333333335,77,18,53.47222222222222,12.5,61.80555555555556,345.6361805555553,1.9275818556152582,4.413259470685568,4.863857558848772,0.4505980881632039,2.283695250124936,2.0405280114551645,4.027661027560979,2.1000791719457212,2,500,250,100,0.005,,,,0.1
200,171,64,107,27,3.962962962962963,85,22,49.707602339181285,12.865497076023392,59.64912280701754,424.5101754385961,1.6998255484938105,4.101861896864105,4.380659154264578,0.2787972574004724,2.3195776356818643,1.6630772046586275,3.5372856801429853,1.8374601316491748,2,500,250,100,0.005,,,,0.1
250,231,70,161,45,3.577777777777778,139,22,60.17316017316017,9.523809523809524,67.53246753246754,479.0512987012982,1.6592275607874156,4.106927264466675,4.659915899320931,0.5529886348542568,3.396823000169176,2.1324252943315356,4.098720869393808,2.439493308606392,2,500,250,100,0.005,,,,0.1
