tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
200,166,50,116,49,2.36734693877551,95,19,57.2289156626506,11.44578313253012,75.3012048192771,22.620732931726927,0.03688209294047007,0.06326439336807638,0.20893734440237868,0.1456729510343023,0.16490255693211514,0.15642412935323374,0.19839327884103267,0.1615111859005626,1,500,250,100,0.05,,,,
250,202,50,152,61,2.4918032786885247,125,23,61.881188118811885,11.386138613861386,76.73267326732673,27.290800330032994,0.03267467169265362,0.05710762417989837,0.21270696594327976,0.1555993417633814,0.1763547320821089,0.1633615537848606,0.2038321324558632,0.1711574607632096,1,500,250,100,0.05,,,,
300,251,56,195,76,2.5657894736842106,161,28,64.14342629482071,11.155378486055778,76.89243027888446,29.83217131474101,0.036115752943438884,0.04737166434738191,0.20908262780253153,0.16171096345514963,0.17159634488237954,0.15841885801660296,0.2020646034547713,0.16594885051133243,1,500,250,100,0.05,,,,
350,332,58,274,106,2.5849056603773586,231,34,69.57831325301204,10.240963855421686,78.6144578313253,29.940988955823254,0.039647539271888216,0.0352216175091947,0.1964090894651677,0.161187471955973,0.15860858539936498,0.14542179822339912,0.19189008948285594,0.15224255021096772,1,500,250,100,0.05,,,,
400,427,48,379,143,2.6503496503496504,323,44,75.64402810304449,10.304449648711945,80.32786885245902,31.52349726775952,0.028077135019072053,0.030221302801243993,0.19219980704141382,0.16197850424016982,0.16848173683438383,0.15479774722313813,0.18857654458022924,0.16049940956115719,1,500,250,100,0.05,,,,
450,573,41,532,200,2.66,455,62,79.40663176265271,10.820244328097731,81.50087260034904,30.878737638161677,0.018390823003547024,0.022270635710092995,0.18864276121712117,0.16637212550702818,0.18356481481481388,0.16096726920742813,0.18597200799850266,0.16758118499495564,1,500,250,100,0.05,,,,
0,100,57,43,14,3.0714285714285716,42,1,42.0,1.0,70.0,0.21775000000000003,0.03515911872705024,0.06428571428571436,0.23928571428571438,0.17500000000000002,0.21428571428571433,0.19137931034482758,0.2377906976744187,0.20263157894736847,2,500,250,100,0.05,,,,
50,111,47,64,19,3.3684210526315788,58,6,52.252252252252255,5.405405405405405,72.07207207207207,9.845045045045048,0.013807950041718864,0.04521636240703178,0.2202163624070318,0.17500000000000002,0.21145276292335122,0.19399999999999995,0.21597732843137257,0.2021693783896537,2,500,250,100,0.05,,,,
100,139,49,90,27,3.3333333333333335,82,8,58.992805755395686,5.755395683453237,76.2589928057554,16.4771582733813,0.03163431704759476,0.04999529630565688,0.2249952963056571,0.1750000000000002,0.18362211221122127,0.19399999999999973,0.22055126996737648,0.18891695291978172,2,500,250,100,0.05,,,,
150,171,53,118,38,3.1052631578947367,108,10,63.1578947368421,5.847953216374269,77.19298245614036,21.984795321637435,0.05515591045330273,0.06277946798496056,0.23777946798496088,0.17500000000000032,0.18807478445582934,0.168388901575702,0.2324591740879303,0.17730326363462756,2,500,250,100,0.05,,,,
200,218,52,166,53,3.1320754716981134,149,17,68.34862385321101,7.798165137614679,77.98165137614679,25.547018348623862,0.05090899232725679,0.04589875554113587,0.220898755541136,0.17500000000000013,0.1808940158201135,0.15471834376504573,0.21619828057607995,0.16528928824882316,2,500,250,100,0.05,,,,
250,272,53,219,67,3.2686567164179103,190,27,69.8529411764706,9.926470588235293,77.57352941176471,29.673805147058815,0.0514141541660883,0.051872483054077795,0.22274086139257568,0.17086837833849788,0.16931782029391562,0.16195530378486073,0.21628668147340468,0.16487252730731639,2,500,250,100,0.05,,,,
300,360,56,304,92,3.3043478260869565,268,34,74.44444444444444,9.444444444444445,80.55555555555556,30.7709722222222,0.03252776006701699,0.03648500437443192,0.20874902626225678,0.17226402188782486,0.17695376153092798,0.16898186735035955,0.20464144298831416,0.17211368292129717,2,500,250,100,0.05,,,,
350,450,51,399,124,3.217741935483871,346,48,76.88888888888889,10.666666666666666,80.88888888888889,32.97894444444442,0.0247371385149531,0.03866552765205336,0.20484371976523544,0.16617819211318208,0.17829819297139482,0.17381307855697692,0.20013319862995987,0.17539606011500677,2,500,250,100,0.05,,,,
400,562,41,521,165,3.1575757575757577,455,60,80.96085409252669,10.676156583629894,82.38434163701068,35.24092526690388,0.029538177902165813,0.03763873306306595,0.211474975789583,0.17383624272651704,0.17499999999999868,0.17817029738497656,0.20708988067543935,0.17755170277327353,2,500,250,100,0.05,,,,
450,739,42,697,217,3.2119815668202767,611,77,82.67929634641408,10.419485791610285,83.49120433017592,35.473646820027035,0.04496108683524905,0.03536368092457487,0.2095573918699487,0.17419371094537384,0.17499999999999852,0.15824485974534133,0.2055995380455414,0.16063845121029235,2,500,250,100,0.05,,,,
0,100,57,43,14,3.0714285714285716,42,1,42.0,1.0,68.0,0.19900000000000007,0.008894328845369365,0.02976190476190485,0.20476190476190487,0.17500000000000002,0.20576923076923076,0.1862903225806452,0.2040697674418606,0.19517543859649122,0,500,250,100,0.1,,,,
