tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha
0,100,62,38,12,3.1666666666666665,38,0,38.0,0.0,71.0,0.20600000000000002,0.06460101867572163,0.24605263157894744,0.24605263157894744,0.0,0.17500000000000002,0.18879310344827588,0.24605263157894744,0.1814516129032258,0,500,250,100,0.005,,,0.05
50,116,54,62,18,3.4444444444444446,58,4,50.0,3.4482758620689653,75.0,8.651508620689656,0.03939050530606525,0.06006000676132531,0.2256727518593645,0.1656127450980392,0.17499999999999993,0.19099999999999998,0.22179791271347257,0.18240740740740732,0,500,250,100,0.005,,,0.05
100,134,54,80,22,3.6363636363636362,75,5,55.97014925373134,3.7313432835820897,77.61194029850746,16.974067164179118,0.06573306288962238,0.09269284928492844,0.2539337733773379,0.16124092409240948,0.1750000000000004,0.19099999999999984,0.24814047029702985,0.18240740740740746,0,500,250,100,0.005,,,0.05
150,155,54,101,29,3.4827586206896552,96,5,61.935483870967744,3.225806451612903,80.64516129032258,25.72516129032259,0.09648250145102794,0.12362821927888124,0.28501011773362767,0.16138189845474643,0.1750000000000005,0.19099999999999986,0.2788899088584355,0.18240740740740757,0,500,250,100,0.005,,,0.05
200,222,54,168,48,3.5,153,15,68.91891891891892,6.756756756756757,81.98198198198199,28.173873873873863,0.10789537760930765,0.17078489903424038,0.2952326602282703,0.12444776119402996,0.17500000000000013,0.1687114427860698,0.2799840085287846,0.17208863091947693,0,500,250,100,0.005,,,0.05
250,312,48,264,71,3.7183098591549295,246,18,78.84615384615384,5.769230769230769,86.53846153846153,31.019951923076878,0.11157160147289599,0.1743753178793404,0.29982204947149044,0.12544673159215003,0.1749999999999996,0.1777224435590975,0.28793282325244457,0.17636122177954858,0,500,250,100,0.005,,,0.05
300,446,41,405,104,3.894230769230769,381,24,85.42600896860986,5.381165919282512,89.68609865470852,33.08621076233178,0.12088860854263736,0.16998774797045685,0.30891147443778805,0.1389237264673312,0.1749999999999992,0.18049682875264356,0.29883812640990914,0.17794951786727178,0,500,250,100,0.005,,,0.05
350,670,26,644,163,3.950920245398773,608,35,90.74626865671642,5.223880597014926,91.94029850746269,33.81156716417904,0.10975129526621571,0.16047712436814704,0.3088710573893777,0.14839393302123066,0.1749999999999989,0.19722222222222338,0.30013591065083156,0.19038461538461585,0,500,250,100,0.005,,,0.05
400,1061,18,1043,258,4.042635658914729,991,51,93.40245051837888,4.806786050895382,93.49670122525919,33.137615457115864,0.09862465480966962,0.1524179703415356,0.3033068736608934,0.15088890331935778,0.17499999999999868,0.1985294117647073,0.2958468770318931,0.1972222222222235,0,500,250,100,0.005,,,0.05
450,1658,16,1642,400,4.105,1575,66,94.99396863691194,3.9806996381182147,94.99396863691194,33.34044632086845,0.09680942463645978,0.14306458398102315,0.3025633932792083,0.15949880929818513,0.0,0.20000000000000165,0.2968094246364614,0.20000000000000165,0,500,250,100,0.005,,,0.05
0,100,62,38,13,2.923076923076923,37,1,37.0,1.0,73.0,0.23125,0.1321095076400681,0.14189189189189202,0.31689189189189204,0.17500000000000002,0.175,0.18942307692307694,0.31315789473684225,0.18104838709677415,1,500,250,100,0.005,,,0.05
50,109,51,58,20,2.9,51,7,46.788990825688074,6.422018348623853,75.22935779816514,10.709633027522937,0.10231575388776212,0.17814357115395188,0.30616878123798547,0.12802521008403359,0.17499999999999993,0.1937499999999999,0.28466869506423265,0.18235294117647052,1,500,250,100,0.005,,,0.05
100,133,51,82,28,2.9285714285714284,75,7,56.390977443609025,5.2631578947368425,79.69924812030075,20.037969924812035,0.14808656618889998,0.2229437057991511,0.34947128712871284,0.12652758132956174,0.17500000000000043,0.19374999999999978,0.33043950736537064,0.18235294117647066,1,500,250,100,0.005,,,0.05
150,156,51,105,37,2.8378378378378377,98,7,62.82051282051282,4.487179487179487,82.6923076923077,30.293349358974357,0.1764841764520375,0.24023347749695861,0.3748526827949722,0.13461920529801358,0.17500000000000052,0.19374999999999973,0.3588371176285083,0.18235294117647077,1,500,250,100,0.005,,,0.05
200,210,49,161,56,2.875,148,13,70.47619047619048,6.190476190476191,84.76190476190476,35.66160714285714,0.21466907202398963,0.25563415864898287,0.41227754428490593,0.15664338563592306,0.17500000000000013,0.18007331762241438,0.39163627681635454,0.1769672047923649,1,500,250,100,0.005,,,0.05
250,287,47,240,82,2.926829268292683,224,16,78.04878048780488,5.574912891986063,87.8048780487805,40.911541811846675,0.22234912611485674,0.23274944344448642,0.41609750951354346,0.18334806606905704,0.17499999999999963,0.18299433843573135,0.40058087995057773,0.17823175383572099,1,500,250,100,0.005,,,0.05
300,410,46,364,123,2.959349593495935,342,21,83.41463414634147,5.121951219512195,90.0,44.58716463414631,0.22804699893348468,0.24473240843439736,0.42131275667852575,0.17658034824412838,0.17499999999999916,0.18494492044063734,0.4071546834633127,0.179107684529828,1,500,250,100,0.005,,,0.05
350,644,35,609,201,3.029850746268657,577,30,89.59627329192547,4.658385093167702,92.54658385093168,43.48355978260867,0.2111799159160903,0.24777975540238095,0.4091403180423552,0.16136056263997423,0.1749999999999989,0.1984375000000012,0.396894201630376,0.18571428571428567,1,500,250,100,0.005,,,0.05
400,974,24,950,306,3.104575163398693,908,38,93.22381930184805,3.9014373716632442,94.14784394250513,44.328862936344954,0.20659532959683666,0.25293690341275477,0.4073805857592945,0.15444368234653974,0.17499999999999868,0.20000000000000148,0.39722032959683706,0.1906250000000004,1,500,250,100,0.005,,,0.05
450,1476,18,1458,474,3.0759493670886076,1413,40,95.73170731707317,2.710027100271003,95.9349593495935,45.10339600271003,0.2036728810672261,0.25076496023347006,0.4064095856389217,0.15564462540545168,0.17499999999999852,0.2000000000000016,0.39950621440056056,0.19583333333333444,1,500,250,100,0.005,,,0.05
0,100,55,45,15,3.0,45,0,45.0,0.0,73.0,0.21600000000000003,0.07696969696969702,0.2583333333333334,0.2583333333333334,0.0,0.175,0.18796296296296297,0.2583333333333334,0.1813636363636364,2,500,250,100,0.005,,,0.05
50,117,46,71,21,3.380952380952381,69,2,58.97435897435897,1.7094017094017093,76.92307692307692,9.64123931623932,0.06654209142321976,0.07630008525149201,0.251300085251492,0.175,0.17499999999999996,0.18899999999999995,0.24915078707539365,0.18260869565217389,2,500,250,100,0.005,,,0.05
100,125,46,79,23,3.4347826086956523,77,2,61.6,1.6,78.4,19.999400000000016,0.07792833906395608,0.08775877587758768,0.262758775877588,0.17500000000000032,0.17500000000000032,0.18899999999999992,0.2605370347161301,0.18260869565217402,2,500,250,100,0.005,,,0.05
